Thana Name,District,Location,Crime Type,Date,Time
Wagha Town,Lahore,"31.48614474141102,74.39745586041283",cartheft,04/01/15,19:00:00
Wagha Town,Lahore,"31.478296317574195,74.41314928812619",miscellaneous,11/01/15,17:15:00
Wagha Town,Lahore,"31.46342756865968,74.41348594722702",robbery,12/01/15,14:00:00
Wagha Town,Lahore,"31.471881238943748,74.39415464616829",bulgery,11/01/15,23:00:00
Wagha Town,Lahore,"31.47591703233987,74.4163690423311",narcotics,13/01/15,14:45:00
Wagha Town,Lahore,"31.48418563546032,74.39639518766879",othercrimes,03/01/15,20:30:00
Wagha Town,Lahore,"31.479630854664748,74.41308883186859",kiteflyingact,16/01/15,12:25:00
Wagha Town,Lahore,"31.471432607867335,74.39124222506533",miscellaneous,16/01/15,14:00:00
Wagha Town,Lahore,"31.47866313110029,74.41498000796638",othercrimes,14/01/15,12:00:00
Wagha Town,Lahore,"31.464967611921598,74.42460994158802",othercrimes,13/01/15,22:00:00
